repository,config,rank
dokku/ansible-dokku,config_2_1,2.5
dokku/ansible-dokku,config_2_2,5.5
elastic/ansible-beats,config_0_0,1.0
elastic/ansible-beats,config_0_1,3.0
elastic/ansible-beats,config_0_2,7.0
elastic/ansible-beats,config_1_0,8.0
elastic/ansible-beats,config_1_1,1.0
elastic/ansible-beats,config_1_2,5.0
elastic/ansible-beats,config_2_0,5.0
elastic/ansible-beats,config_2_1,5.0
elastic/ansible-beats,config_2_2,1.0
elastic/ansible-elasticsearch,config_0_0,0.0
elastic/ansible-elasticsearch,config_0_1,3.0
elastic/ansible-elasticsearch,config_0_2,1.0
elastic/ansible-elasticsearch,config_1_0,6.0
elastic/ansible-elasticsearch,config_1_1,7.0
elastic/ansible-elasticsearch,config_1_2,8.0
elastic/ansible-elasticsearch,config_2_0,4.0
elastic/ansible-elasticsearch,config_2_1,2.0
elastic/ansible-elasticsearch,config_2_2,5.0
evrardjp/ansible-keepalived,config_0_0,1.0
evrardjp/ansible-keepalived,config_0_1,1.0
evrardjp/ansible-keepalived,config_0_2,1.0
evrardjp/ansible-keepalived,config_1_0,6.5
evrardjp/ansible-keepalived,config_1_1,8.0
evrardjp/ansible-keepalived,config_1_2,6.5
evrardjp/ansible-keepalived,config_2_0,3.5
evrardjp/ansible-keepalived,config_2_1,5.0
evrardjp/ansible-keepalived,config_2_2,3.5
fgci-org/ansible-role-cuda,config_0_0,2.5
fgci-org/ansible-role-cuda,config_0_1,2.5
fgci-org/ansible-role-cuda,config_0_2,2.5
fgci-org/ansible-role-cuda,config_1_0,6.0
fgci-org/ansible-role-cuda,config_1_1,8.0
fgci-org/ansible-role-cuda,config_1_2,7.0
fgci-org/ansible-role-cuda,config_2_0,2.5
fgci-org/ansible-role-cuda,config_2_1,2.5
fgci-org/ansible-role-cuda,config_2_2,2.5
florianutz/Ubuntu1604-CIS,config_0_0,4.5
florianutz/Ubuntu1604-CIS,config_0_1,4.5
florianutz/Ubuntu1604-CIS,config_0_2,4.5
florianutz/Ubuntu1604-CIS,config_1_0,4.5
florianutz/Ubuntu1604-CIS,config_1_1,4.5
florianutz/Ubuntu1604-CIS,config_1_2,4.5
florianutz/Ubuntu1604-CIS,config_2_0,4.5
florianutz/Ubuntu1604-CIS,config_2_1,4.5
florianutz/Ubuntu1604-CIS,config_2_2,0.0
florianutz/Ubuntu1804-CIS,config_0_0,7.0
florianutz/Ubuntu1804-CIS,config_0_1,6.0
florianutz/Ubuntu1804-CIS,config_0_2,4.0
florianutz/Ubuntu1804-CIS,config_1_0,2.5
florianutz/Ubuntu1804-CIS,config_1_1,8.0
florianutz/Ubuntu1804-CIS,config_1_2,2.5
florianutz/Ubuntu1804-CIS,config_2_0,0.0
florianutz/Ubuntu1804-CIS,config_2_1,1.0
florianutz/Ubuntu1804-CIS,config_2_2,5.0
galaxyproject/ansible-galaxy,config_0_0,5.0
galaxyproject/ansible-galaxy,config_0_1,3.0
galaxyproject/ansible-galaxy,config_0_2,4.0
galaxyproject/ansible-galaxy,config_1_0,7.0
galaxyproject/ansible-galaxy,config_1_1,6.0
galaxyproject/ansible-galaxy,config_1_2,8.0
galaxyproject/ansible-galaxy,config_2_0,2.0
galaxyproject/ansible-galaxy,config_2_1,1.0
galaxyproject/ansible-galaxy,config_2_2,0.0
galaxyproject/ansible-galaxy-tools,config_0_0,4.0
galaxyproject/ansible-galaxy-tools,config_0_1,4.0
galaxyproject/ansible-galaxy-tools,config_0_2,4.0
galaxyproject/ansible-galaxy-tools,config_1_0,4.0
galaxyproject/ansible-galaxy-tools,config_1_1,4.0
galaxyproject/ansible-galaxy-tools,config_1_2,4.0
galaxyproject/ansible-galaxy-tools,config_2_0,4.0
galaxyproject/ansible-galaxy-tools,config_2_1,4.0
galaxyproject/ansible-galaxy-tools,config_2_2,4.0
Graylog2/graylog-ansible-role,config_0_0,7.5
Graylog2/graylog-ansible-role,config_0_1,6.0
Graylog2/graylog-ansible-role,config_0_2,7.5
Graylog2/graylog-ansible-role,config_1_0,3.5
Graylog2/graylog-ansible-role,config_1_1,3.5
Graylog2/graylog-ansible-role,config_1_2,5.0
Graylog2/graylog-ansible-role,config_2_0,1.5
Graylog2/graylog-ansible-role,config_2_1,0.0
Graylog2/graylog-ansible-role,config_2_2,1.5
hadret/ansible-role-containers,config_0_0,5.5
hadret/ansible-role-containers,config_0_1,5.5
hadret/ansible-role-containers,config_0_2,5.5
hadret/ansible-role-containers,config_1_0,5.5
hadret/ansible-role-containers,config_1_1,5.5
hadret/ansible-role-containers,config_1_2,1.0
hadret/ansible-role-containers,config_2_0,1.0
hadret/ansible-role-containers,config_2_1,1.0
hadret/ansible-role-containers,config_2_2,5.5
HanXHX/ansible-debian-bootstrap,config_0_0,0.0
HanXHX/ansible-debian-bootstrap,config_0_1,1.5
HanXHX/ansible-debian-bootstrap,config_0_2,1.5
HanXHX/ansible-debian-bootstrap,config_1_0,7.0
HanXHX/ansible-debian-bootstrap,config_1_1,8.0
HanXHX/ansible-debian-bootstrap,config_1_2,6.0
HanXHX/ansible-debian-bootstrap,config_2_0,5.0
HanXHX/ansible-debian-bootstrap,config_2_1,4.0
HanXHX/ansible-debian-bootstrap,config_2_2,3.0
HanXHX/ansible-nginx,config_0_0,1.5
HanXHX/ansible-nginx,config_0_1,1.5
HanXHX/ansible-nginx,config_0_2,0.0
HanXHX/ansible-nginx,config_1_0,8.0
HanXHX/ansible-nginx,config_1_1,3.0
HanXHX/ansible-nginx,config_1_2,6.0
HanXHX/ansible-nginx,config_2_0,7.0
HanXHX/ansible-nginx,config_2_1,4.0
HanXHX/ansible-nginx,config_2_2,5.0
idealista/consul_role,config_0_0,1.5
idealista/consul_role,config_0_1,7.5
idealista/consul_role,config_0_2,7.5
idealista/consul_role,config_1_0,5.0
idealista/consul_role,config_1_1,6.0
idealista/consul_role,config_1_2,4.0
idealista/consul_role,config_2_0,1.5
idealista/consul_role,config_2_1,1.5
idealista/consul_role,config_2_2,1.5
idealista/java_role,config_0_0,2.5
idealista/java_role,config_0_1,2.5
idealista/java_role,config_0_2,2.5
idealista/java_role,config_1_0,7.0
idealista/java_role,config_1_1,7.0
idealista/java_role,config_1_2,7.0
idealista/java_role,config_2_0,2.5
idealista/java_role,config_2_1,2.5
idealista/java_role,config_2_2,2.5
idealista/mysql_role,config_0_0,2.5
idealista/mysql_role,config_0_1,2.5
idealista/mysql_role,config_0_2,2.5
idealista/mysql_role,config_1_0,6.0
idealista/mysql_role,config_1_1,8.0
idealista/mysql_role,config_1_2,7.0
idealista/mysql_role,config_2_0,2.5
idealista/mysql_role,config_2_1,2.5
idealista/mysql_role,config_2_2,2.5
idealista/nexus-role,config_0_0,2.5
idealista/nexus-role,config_0_1,2.5
idealista/nexus-role,config_0_2,2.5
idealista/nexus-role,config_1_0,7.0
idealista/nexus-role,config_1_1,7.0
idealista/nexus-role,config_1_2,7.0
idealista/nexus-role,config_2_0,2.5
idealista/nexus-role,config_2_1,2.5
idealista/nexus-role,config_2_2,2.5
infOpen/ansible-role-docker,config_0_0,1.5
infOpen/ansible-role-docker,config_0_1,1.5
infOpen/ansible-role-docker,config_0_2,1.5
infOpen/ansible-role-docker,config_1_0,7.0
infOpen/ansible-role-docker,config_1_1,7.0
infOpen/ansible-role-docker,config_1_2,7.0
infOpen/ansible-role-docker,config_2_0,4.5
infOpen/ansible-role-docker,config_2_1,1.5
infOpen/ansible-role-docker,config_2_2,4.5
infOpen/ansible-role-fail2ban,config_0_0,4.0
infOpen/ansible-role-fail2ban,config_0_1,4.0
infOpen/ansible-role-fail2ban,config_0_2,4.0
infOpen/ansible-role-fail2ban,config_1_0,4.0
infOpen/ansible-role-fail2ban,config_1_1,4.0
infOpen/ansible-role-fail2ban,config_1_2,4.0
infOpen/ansible-role-fail2ban,config_2_0,4.0
infOpen/ansible-role-fail2ban,config_2_1,4.0
infOpen/ansible-role-fail2ban,config_2_2,4.0
kibatic/ansible-traefik,config_0_0,7.5
kibatic/ansible-traefik,config_0_1,6.0
kibatic/ansible-traefik,config_0_2,7.5
kibatic/ansible-traefik,config_1_0,3.5
kibatic/ansible-traefik,config_1_1,5.0
kibatic/ansible-traefik,config_1_2,3.5
kibatic/ansible-traefik,config_2_0,0.5
kibatic/ansible-traefik,config_2_1,0.5
kibatic/ansible-traefik,config_2_2,2.0
lae/ansible-role-proxmox,config_0_0,4.5
lae/ansible-role-proxmox,config_0_1,4.5
lae/ansible-role-proxmox,config_0_2,2.0
lae/ansible-role-proxmox,config_1_0,6.0
lae/ansible-role-proxmox,config_1_1,7.0
lae/ansible-role-proxmox,config_1_2,8.0
lae/ansible-role-proxmox,config_2_0,3.0
lae/ansible-role-proxmox,config_2_1,0.5
